mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__max_features,param_model__min_samples_leaf,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.3576228618621826,0.010951453515919658,0.01988191604614258,0.001047498308848636,6,sqrt,2,300,"{'model__max_depth': 6, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__n_estimators': 300}",0.9888059701492538,0.9906716417910446,0.9981343283582089,0.9981343283582089,0.9925373134328358,0.9936567164179104,0.0038416530376817223,1,1.0,1.0,0.999883395522388,1.0,1.0,0.9999766791044775,4.664179104478805e-05
0.1575404167175293,0.0036723438770348174,0.010431575775146484,0.00022616077266561166,,sqrt,1,150,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 150}",0.9888059701492538,0.9906716417910448,1.0,0.9981343283582089,0.9888059701492538,0.9932835820895523,0.0048074995248974135,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.17787961959838866,0.003389973299576576,0.012882232666015625,0.0009348592717118815,10,sqrt,1,150,"{'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 150}",0.9888059701492538,0.9906716417910448,1.0,0.9981343283582089,0.9888059701492538,0.9932835820895523,0.0048074995248974135,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.2991630077362061,0.00653320593020146,0.016511297225952147,0.002812473715981534,,sqrt,1,300,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}",0.9869402985074627,0.9925373134328358,1.0,0.9981343283582089,0.9869402985074627,0.992910447761194,0.005458484641167085,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.30914130210876467,0.00491864936271726,0.01577272415161133,0.0007679120911563356,10,sqrt,2,300,"{'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__n_estimators': 300}",0.9888059701492538,0.9906716417910446,0.9981343283582089,0.9981343283582089,0.9888059701492538,0.992910447761194,0.004319342127906793,4,1.0,1.0,0.999883395522388,1.0,1.0,0.9999766791044775,4.664179104478805e-05
0.33759264945983886,0.01428744386757395,0.017522764205932618,0.002018420033079343,10,sqrt,1,300,"{'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}",0.9869402985074627,0.9925373134328358,1.0,0.9981343283582089,0.9869402985074627,0.992910447761194,0.005458484641167085,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.30183825492858884,0.0064543100562818485,0.015450525283813476,0.0008605191991709215,,sqrt,2,300,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__n_estimators': 300}",0.9888059701492538,0.9906716417910446,0.9981343283582089,0.9981343283582089,0.9888059701492538,0.992910447761194,0.004319342127906793,4,1.0,1.0,0.999883395522388,1.0,1.0,0.9999766791044775,4.664179104478805e-05
0.15551605224609374,0.003804756123342891,0.011401748657226563,0.0010534896902833833,6,sqrt,1,150,"{'model__max_depth': 6, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 150}",0.9888059701492538,0.9888059701492538,0.9981343283582089,0.9981343283582089,0.9906716417910448,0.992910447761194,0.00431934212790677,4,1.0,1.0,0.9998833955223881,1.0,1.0,0.9999766791044777,4.664179104474364e-05
0.1636350631713867,0.0046837421442875865,0.011834859848022461,0.0004282071223402687,10,sqrt,2,150,"{'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__n_estimators': 150}",0.9888059701492538,0.9888059701492538,0.9981343283582089,0.9981343283582089,0.9888059701492538,0.9925373134328359,0.004569943549968589,9,0.999883395522388,1.0,0.9998833955223881,1.0,0.999883395522388,0.9999300373134329,5.712429437460418e-05
0.15599470138549804,0.0030349829737378003,0.011060619354248047,0.0009219298480707651,,sqrt,2,150,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__n_estimators': 150}",0.9888059701492538,0.9888059701492538,0.9981343283582089,0.9981343283582089,0.9888059701492538,0.9925373134328359,0.004569943549968589,9,0.999883395522388,1.0,0.9998833955223881,1.0,0.9998833955223881,0.9999300373134329,5.712429437458605e-05
