Threshold,Precision,Recall,F1,Business_Score
0.1,0.6153846153846154,1.0,0.7619047619047619,0.8571428571428571
0.12000000000000001,0.625,1.0,0.7692307692307693,0.8615384615384616
0.14,0.625,1.0,0.7692307692307693,0.8615384615384616
0.16000000000000003,0.6349206349206349,1.0,0.7766990291262136,0.8660194174757281
0.18000000000000002,0.6451612903225806,1.0,0.7843137254901961,0.8705882352941177
0.2,0.6451612903225806,1.0,0.7843137254901961,0.8705882352941177
0.22000000000000003,0.6451612903225806,1.0,0.7843137254901961,0.8705882352941177
0.24000000000000002,0.639344262295082,0.975,0.7722772277227723,0.8533663366336633
0.26,0.65,0.975,0.78,0.858
0.28,0.6724137931034483,0.975,0.7959183673469388,0.8675510204081632
0.30000000000000004,0.6842105263157895,0.975,0.8041237113402062,0.8724742268041237
0.32000000000000006,0.6842105263157895,0.975,0.8041237113402062,0.8724742268041237
0.3400000000000001,0.6842105263157895,0.975,0.8041237113402062,0.8724742268041237
0.3600000000000001,0.6842105263157895,0.975,0.8041237113402062,0.8724742268041237
0.38,0.6964285714285714,0.975,0.8125,0.8775
0.4,0.6909090909090909,0.95,0.8,0.86
0.42000000000000004,0.6923076923076923,0.9,0.782608695652174,0.8295652173913044
0.44000000000000006,0.7346938775510204,0.9,0.8089887640449438,0.8453932584269663
0.4600000000000001,0.7346938775510204,0.9,0.8089887640449438,0.8453932584269663
0.4800000000000001,0.7346938775510204,0.9,0.8089887640449438,0.8453932584269663
0.5000000000000001,0.75,0.9,0.8181818181818182,0.850909090909091
0.5200000000000001,0.7777777777777778,0.875,0.8235294117647058,0.8441176470588235
0.54,0.813953488372093,0.875,0.8433734939759037,0.8560240963855421
0.56,0.8048780487804879,0.825,0.8148148148148148,0.8188888888888888
0.5800000000000001,0.8205128205128205,0.8,0.810126582278481,0.8060759493670886
0.6000000000000001,0.8157894736842105,0.775,0.7948717948717948,0.786923076923077
0.6200000000000001,0.8571428571428571,0.75,0.8,0.78
0.6400000000000001,0.8529411764705882,0.725,0.7837837837837838,0.7602702702702702
0.66,0.8529411764705882,0.725,0.7837837837837838,0.7602702702702702
0.68,0.8484848484848485,0.7,0.7671232876712328,0.7402739726027396
0.7000000000000001,0.84375,0.675,0.75,0.72
